libraryID,sequencingBC,EFB,Yard,Foraging,Collection date
,,,,,
ApisM_MM__10_26_2021_barcode01,Millbraith_barcode01,Negative,Yard B,Holding,June 2020
ApisM_MM__10_26_2021_barcode02,Millbraith_barcode02,Negative,Yard B,Holding,June 2020
ApisM_MM__10_26_2021_barcode03,Millbraith_barcode03,Negative,Yard B,Holding,June 2020
ApisM_MM__10_26_2021_barcode04,Millbraith_barcode04,Positive,Yard B,Holding,June 2020
ApisM_MM__10_26_2021_barcode05,Millbraith_barcode05,Positive,Yard B,Holding,June 2020
ApisM_MM__10_26_2021_barcode06,Millbraith_barcode06,Positive,Yard B,Holding,June 2020
ApisM_MM__10_26_2021_barcode07,Millbraith_barcode07,Negative,Yard A,Blueberry,June 2020
ApisM_MM__10_26_2021_barcode08,Millbraith_barcode08,Negative,Yard A,Blueberry,June 2020
ApisM_MM__10_26_2021_barcode09,Millbraith_barcode09,Negative,Yard A,Blueberry,June 2020
ApisM_MM__10_26_2021_barcode10,Millbraith_barcode10,Positive,Yard A,Blueberry,June 2020
ApisM_MM__10_26_2021_barcode11,Millbraith_barcode11,Positive,Yard A,Blueberry,June 2020
ApisM_MM__10_26_2021_barcode12,Millbraith_barcode12,Positive,Yard A,Blueberry,June 2020
