libraryID,taxID,counts,kingdom,phylum,class,order,family,genera,species,EFB_status,Yard
ApisM_MM__10_26_2021_barcode05,2157,1,Archaea, NA, NA, NA, NA, NA, NA,Positive,Yard B
ApisM_MM__10_26_2021_barcode05,1700837,1,Archaea, Candidatus Bathyarchaeota, NA, NA, NA, NA, NA,Positive,Yard B
ApisM_MM__10_26_2021_barcode06,1906665,1,Archaea, NA, NA, NA, NA, NA, archaeon,Positive,Yard B
ApisM_MM__10_26_2021_barcode06,859350,1,Archaea, Nitrososphaerota, Nitrosopumilales, Nitrososphaeria, Nitrosopumilaceae, Nitrosopumilus, Candidatus Nitrosopumilus salaria,Positive,Yard B
ApisM_MM__10_26_2021_barcode06,60847,1,Archaea, Euryarchaeota, Haloferacales, Halobacteria, Haloferacaceae, Halogeometricum, Halogeometricum borinquense,Positive,Yard B
ApisM_MM__10_26_2021_barcode07,859350,1,Archaea, Nitrososphaerota, Nitrosopumilales, Nitrososphaeria, Nitrosopumilaceae, Nitrosopumilus, Candidatus Nitrosopumilus salaria,Negative,Yard A
ApisM_MM__10_26_2021_barcode08,1073986,1,Archaea, Euryarchaeota, Haloferacales, Halobacteria, Haloferacaceae, Halobellus, NA,Negative,Yard A
ApisM_MM__10_26_2021_barcode11,183967,1,Archaea, Candidatus Thermoplasmatota, NA, Thermoplasmata, NA, NA, NA,Positive,Yard A
ApisM_MM__10_26_2021_barcode11,859350,1,Archaea, Nitrososphaerota, Nitrosopumilales, Nitrososphaeria, Nitrosopumilaceae, Nitrosopumilus, Candidatus Nitrosopumilus salaria,Positive,Yard A
ApisM_MM__10_26_2021_barcode01,596325,1,Bacteria, Bacillota, Lactobacillales, Bacilli, Lactobacillaceae, Lactobacillus, Lactobacillus jensenii,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,411465,8,Bacteria, Bacillota, Tissierellales, Tissierellia, Peptoniphilaceae, Parvimonas, Parvimonas micra,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,2653137,3,Bacteria, Pseudomonadota, Hyphomicrobiales, Alphaproteobacteria, NA, Enhydrobacter, Enhydrobacter sp. 8BJ,Negative,Yard B
