chr,genomeID,NCBI Accession (TBD),Common name,organism,Family,Variant,Yard,EFB status,Genome Length,gene count,viral genes,host genes,checkv quality,miuvig quality,completeness,completeness method
contig_Blueberry_H07_000000000003,BB_H07_000003,NA,Deformed Wing Virus,Iflavirus aladeformis,Iflaviridae,DWV A,Yard A,EFB-,10074,3,3,0,High-quality,High-quality,99.48,AAI-based (high-confidence)
contig_Blueberry_H08_000000000002,BB_H08_000002,NA,Deformed Wing Virus,Iflavirus aladeformis,Iflaviridae,DWV A,Yard A,EFB-,7137,9,3,0,Medium-quality,Genome-fragment,68.36,HMM-based (lower-bound)
contig_Blueberry_UH10_000000000002,BB_UH10_000002,NA,Deformed Wing Virus,Iflavirus aladeformis,Iflaviridae,DWV B,Yard A,EFB-,5630,5,3,0,Medium-quality,Genome-fragment,54.25,HMM-based (lower-bound)
contig_Blueberry_H09_000000000001,BB_H09_000001,NA,Lake Sinai Virus,unclassified Sinaivirus,Sinhaliviridae,LSV 2,Yard A,EFB-,4288,5,5,0,Medium-quality,Genome-fragment,72.39,AAI-based (high-confidence)
contig_Blueberry_H07_000000000001,BB_H07_000001,NA,Sacbrood Virus,flavirus sacbroodi,Iflaviridae,SBV,Yard A,EFB-,8206,8,3,0,Medium-quality,Genome-fragment,80.41,HMM-based (lower-bound)
contig_Blueberry_H08_000000000001,BB_H08_000001,NA,Sacbrood Virus,flavirus sacbroodi,Iflaviridae,SBV,Yard A,EFB-,8305,6,3,0,Medium-quality,Genome-fragment,79.54,HMM-based (lower-bound)
contig_Holding_H02_000000000012,HO_H02_000012,NA,Lake Sinai Virus,unclassified Sinaivirus,Sinhaliviridae,LSV 3,Yard B,EFB-,3399,4,3,0,Medium-quality,Genome-fragment,57.5,AAI-based (high-confidence)
contig_Blueberry_UH10_000000000030,BB_UH10_000030,NA,Black Queen Cell Virus,Triatovirus nigereginacellulae,Dicistroviridae,BQCV,Yard A,EFB+,3352,5,1,0,Low-quality,Genome-fragment,34.76,HMM-based (lower-bound)
contig_Blueberry_UH11_000000000003,BB_UH11_000003,NA,Black Queen Cell Virus,Triatovirus nigereginacellulae,Dicistroviridae,BQCV,Yard A,EFB+,5850,4,3,0,Medium-quality,Genome-fragment,68.42,AAI-based (high-confidence)
contig_Blueberry_UH12_000000000004,BB_UH12_000004,NA,Black Queen Cell Virus,Triatovirus nigereginacellulae,Dicistroviridae,BQCV,Yard A,EFB+,5083,5,2,0,Medium-quality,Genome-fragment,51.31,HMM-based (lower-bound)
contig_Blueberry_H07_000000000035,BB_H07_000035,NA,Deformed Wing Virus,Iflavirus aladeformis,Iflaviridae,DWV,Yard A,EFB+,3217,6,2,0,Low-quality,Genome-fragment,29.55,HMM-based (lower-bound)
contig_Blueberry_UH12_000000000020,BB_UH12_000020,NA,Deformed Wing Virus,Iflavirus aladeformis,Iflaviridae,DWV ,Yard A,EFB+,3001,5,1,0,Low-quality,Genome-fragment,27.57,HMM-based (lower-bound)
contig_Blueberry_UH11_000000000005,BB_UH11_000005,NA,Deformed Wing Virus,Iflavirus aladeformis,Iflaviridae,DWV A,Yard A,EFB+,4909,4,2,0,Low-quality,Genome-fragment,46.75,HMM-based (lower-bound)
contig_Blueberry_UH12_000000000001,BB_UH12_000001,NA,Deformed Wing Virus,Iflavirus aladeformis,Iflaviridae,DWV A,Yard A,EFB+,8868,9,3,0,Medium-quality,Genome-fragment,83.95,HMM-based (lower-bound)
contig_Blueberry_H07_000000000006,BB_H07_000006,NA,Deformed Wing Virus,Iflavirus aladeformis,Iflaviridae,DWV B,Yard A,EFB+,6812,4,3,0,Medium-quality,Genome-fragment,64.87,HMM-based (lower-bound)
contig_Blueberry_UH10_000000000053,BB_UH10_000053,NA,Deformed Wing Virus,Iflavirus aladeformis,Iflaviridae,DWV B,Yard A,EFB+,6175,4,2,0,Medium-quality,Genome-fragment,59.21,AAI-based (medium-confidence)
contig_Blueberry_UH10_000000000054,BB_UH10_000054,NA,Deformed Wing Virus,Iflavirus aladeformis,Iflaviridae,DWV B,Yard A,EFB+,5819,9,3,0,Medium-quality,Genome-fragment,56.07,HMM-based (lower-bound)
